sample_name	filename	ATTRIBUTE_SampleNr	ATTRIBUTE_Plantpart	ATTRIBUTE_Family
Blank_Extract.mzML	Blank_Extract.mzML	1	blank	none
ground_ivy.mzML	ground_ivy.mzML	2	leaf	mint
plantain.mzML	plantain.mzML	3	leaf	plantain
tansy_leaf.mzML	tansy_leaf.mzML	4	leaf	aster
tansy_flower.mzML	tansy_flower.mzML	5	flower	aster
tansy_dried_flower.mzML	tansy_dried_flower.mzML	6	flower	aster
sweetfern_fresh.mzML	sweetfern_fresh.mzML	7	leaf	myrtle
sweetfern_dried.mzML	sweetfern_dried.mzML	8	leaf	myrtle
sweetfern_catkins.mzML	sweetfern_catkins.mzML	9	flower	myrtle
bittersweet_roots.mzML	bittersweet_roots.mzML	10	root	celastraceae
bittersweet_berries.mzML	bittersweet_berries.mzML	11	fruit	celastraceae
goldenrod_leaves.mzML	goldenrod_leaves.mzML	12	leaf	aster
goldenrod_dried_flowers.mzML	goldenrod_dried_flowers.mzML	13	flower	aster
goldenrob_fresh_flowers.mzML	goldenrob_fresh_flowers.mzML	14	flower	aster
